system_id,system_name,system_type,scenario_id,scenario_name,time_step,phase,phase_changed,potential,connectedness,resilience,rigidity,memory,novelty,release_flag
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,1,K,False,0.74016,0.7024,0.35975,0.53872,0.74888,0.0744,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,2,K,False,0.75939,0.72323,0.33331,0.57848,0.75799,0.06919,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,3,K,False,0.77766,0.74261,0.30745,0.61921,0.76733,0.06435,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,4,K,False,0.79495,0.76062,0.28213,0.66084,0.77687,0.05984,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,5,K,False,0.81125,0.77738,0.2573,0.70331,0.7866,0.05566,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,6,Omega,True,0.82657,0.79296,0.23293,0.74656,0.79652,0.05176,1
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,7,alpha,True,0.34716,0.25375,0.53293,0.28369,0.68501,0.30231,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,8,r,True,0.4118,0.277,0.59476,0.27151,0.69708,0.083,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,9,r,False,0.43603,0.32761,0.67618,0.29149,0.70231,0.1681,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,10,r,False,0.46062,0.37468,0.6394,0.31382,0.70783,0.15633,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,11,r,False,0.48546,0.41845,0.60393,0.33834,0.71366,0.14539,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,12,r,False,0.51044,0.45916,0.56966,0.3649,0.71979,0.13521,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,13,r,False,0.53543,0.49702,0.53651,0.39335,0.72621,0.12575,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,14,r,False,0.5603,0.53223,0.50441,0.42356,0.73293,0.11694,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,15,K,True,0.58494,0.56497,0.47328,0.45541,0.73995,0.10876,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,16,K,False,0.60922,0.59542,0.44305,0.48878,0.74726,0.10114,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,17,K,False,0.63303,0.62374,0.41367,0.52357,0.75486,0.09406,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,18,K,False,0.65626,0.65008,0.38506,0.55967,0.76274,0.08748,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,19,K,False,0.67882,0.67457,0.35718,0.597,0.77088,0.08136,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,20,K,False,0.70062,0.69735,0.32998,0.63547,0.77929,0.07566,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,21,K,False,0.72159,0.71854,0.30341,0.675,0.78795,0.07037,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,22,K,False,0.74168,0.73824,0.27742,0.71551,0.79685,0.06544,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,23,Omega,True,0.76084,0.75656,0.25197,0.75694,0.80598,0.06086,1
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,24,alpha,True,0.31955,0.2421,0.55197,0.28764,0.69314,0.34275,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,25,r,True,0.42314,0.26976,0.5879,0.26868,0.69836,0.09043,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,26,r,False,0.44755,0.32088,0.68143,0.28832,0.70373,0.16978,0
ACYP001,Fire-Prone Forest Mosaic,ecological,CY001,Balanced renewal,27,r,False,0.47227,0.36841,0.64447,0.31034,0.70939,0.1579,0
