 time,function,ai_support,governance_buffer,model_drift,ai_risk,fragility_gap,human_strain,equity_performance,resilience_score
1, 1.00000, 0.84080, 0.84300, 0.12722, 0.23266, 0.00000, 0.22161, 0.72236, 0.84145
2, 1.00000, 0.84080, 0.84300, 0.05447, 0.16278, 0.00000, 0.09699, 0.73802, 0.86362
3, 1.00000, 0.84080, 0.84300, 0.00000, 0.09100, 0.00000, 0.00000, 0.75208, 0.88266
4, 1.00000, 0.84080, 0.84300, 0.00000, 0.01922, 0.00000, 0.00000, 0.76069, 0.89087
5, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
6, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
7, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
8, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
9, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
10, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.71020, 0.88673
11, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
12, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
13, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
14, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
15, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
16, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
17, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
18, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
19, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
20, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
21, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
22, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
23, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
24, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
25, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
26, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
27, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
28, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
29, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
30, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
31, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
32, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
33, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
34, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
35, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
36, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
37, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
38, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
39, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
40, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
41, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
42, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
43, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
44, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
45, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
46, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
47, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
48, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
49, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
50, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
51, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
52, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
53, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
54, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
55, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
56, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
57, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
58, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
59, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
60, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
61, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
62, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
63, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
64, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
65, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
66, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
67, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
68, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
69, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
70, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
71, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
72, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
