simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,CR002,Coastal Ecosystem-Based Adaptation Program,1,7.34411,Coastal Ecosystem-Based Adaptation Program
0,CR004,Integrated Climate Risk Governance Framework,2,7.28823,Coastal Ecosystem-Based Adaptation Program
0,CR003,Climate-Resilient Water and Food Security Plan,3,7.24765,Coastal Ecosystem-Based Adaptation Program
0,CR005,Community-Led Floodplain Adaptation,4,7.09666,Coastal Ecosystem-Based Adaptation Program
0,CR006,Distributed Energy and Critical Service Microgrids,5,7.05076,Coastal Ecosystem-Based Adaptation Program
0,CR001,Heat-Resilient Urban Redesign,6,6.94985,Coastal Ecosystem-Based Adaptation Program
1,CR003,Climate-Resilient Water and Food Security Plan,1,7.82782,Climate-Resilient Water and Food Security Plan
1,CR005,Community-Led Floodplain Adaptation,2,7.57016,Climate-Resilient Water and Food Security Plan
1,CR001,Heat-Resilient Urban Redesign,3,7.39213,Climate-Resilient Water and Food Security Plan
1,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.30958,Climate-Resilient Water and Food Security Plan
1,CR004,Integrated Climate Risk Governance Framework,5,7.20037,Climate-Resilient Water and Food Security Plan
1,CR006,Distributed Energy and Critical Service Microgrids,6,6.84352,Climate-Resilient Water and Food Security Plan
2,CR005,Community-Led Floodplain Adaptation,1,7.56048,Community-Led Floodplain Adaptation
2,CR004,Integrated Climate Risk Governance Framework,2,7.53839,Community-Led Floodplain Adaptation
2,CR003,Climate-Resilient Water and Food Security Plan,3,7.48734,Community-Led Floodplain Adaptation
2,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.43908,Community-Led Floodplain Adaptation
2,CR001,Heat-Resilient Urban Redesign,5,7.16489,Community-Led Floodplain Adaptation
2,CR006,Distributed Energy and Critical Service Microgrids,6,6.86739,Community-Led Floodplain Adaptation
3,CR005,Community-Led Floodplain Adaptation,1,7.59015,Community-Led Floodplain Adaptation
3,CR002,Coastal Ecosystem-Based Adaptation Program,2,7.42605,Community-Led Floodplain Adaptation
3,CR003,Climate-Resilient Water and Food Security Plan,3,7.41459,Community-Led Floodplain Adaptation
3,CR004,Integrated Climate Risk Governance Framework,4,7.41074,Community-Led Floodplain Adaptation
3,CR001,Heat-Resilient Urban Redesign,5,7.27334,Community-Led Floodplain Adaptation
3,CR006,Distributed Energy and Critical Service Microgrids,6,7.25319,Community-Led Floodplain Adaptation
4,CR005,Community-Led Floodplain Adaptation,1,7.74348,Community-Led Floodplain Adaptation
4,CR004,Integrated Climate Risk Governance Framework,2,7.41398,Community-Led Floodplain Adaptation
4,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.29938,Community-Led Floodplain Adaptation
4,CR003,Climate-Resilient Water and Food Security Plan,4,7.29586,Community-Led Floodplain Adaptation
4,CR001,Heat-Resilient Urban Redesign,5,7.06962,Community-Led Floodplain Adaptation
