time,external_pressure,ecosystem_state,basin_width,disturbance_load,regenerative_capacity,resilience_margin,threshold_flag
1,-0.6,-0.9,0.85,0.1,0.369995,1.11999,viable margin
2,-0.589568,-0.942528,0.846619,0.104892,0.379959,1.12169,viable margin
3,-0.579137,-0.981459,0.843237,0.109784,0.389861,1.12331,viable margin
4,-0.568705,-1.0166,0.839856,0.114676,0.399672,1.12485,viable margin
5,-0.558273,-1.0479,0.836475,0.119568,0.409359,1.12627,viable margin
6,-0.547842,-1.07539,0.833094,0.12446,0.418895,1.12753,viable margin
7,-0.53741,-1.09923,0.829712,0.129353,0.428249,1.12861,viable margin
8,-0.526978,-1.11962,0.826331,0.134245,0.437392,1.12948,viable margin
9,-0.516547,-1.13685,0.82295,0.139137,0.446297,1.13011,viable margin
10,-0.506115,-1.15122,0.819568,0.144029,0.454935,1.13047,viable margin
11,-0.495683,-1.16304,0.816187,0.148921,0.46328,1.13055,viable margin
12,-0.485252,-1.17261,0.812806,0.153813,0.471307,1.1303,viable margin
13,-0.47482,-1.18022,0.809424,0.158705,0.47899,1.12971,viable margin
14,-0.464388,-1.18616,0.806043,0.163597,0.486306,1.12875,viable margin
15,-0.453957,-1.19065,0.802662,0.168489,0.493232,1.1274,viable margin
16,-0.443525,-1.19392,0.799281,0.173381,0.499747,1.12565,viable margin
17,-0.433094,-1.19614,0.795899,0.178273,0.505831,1.12346,viable margin
18,-0.422662,-1.19749,0.792518,0.183165,0.511465,1.12082,viable margin
19,-0.41223,-1.19811,0.789137,0.188058,0.516631,1.11771,viable margin
20,-0.401799,-1.1981,0.785755,0.19295,0.521315,1.11412,viable margin
21,-0.391367,-1.19758,0.782374,0.197842,0.5255,1.11003,viable margin
22,-0.380935,-1.19661,0.778993,0.202734,0.529175,1.10543,viable margin
23,-0.370504,-1.19528,0.775612,0.207626,0.532328,1.10031,viable margin
24,-0.360072,-1.19364,0.77223,0.212518,0.534949,1.09466,viable margin
25,-0.34964,-1.19174,0.768849,0.21741,0.53703,1.08847,viable margin
26,-0.339209,-1.18962,0.765468,0.222302,0.538565,1.08173,viable margin
27,-0.328777,-1.18731,0.762086,0.227194,0.539549,1.07444,viable margin
28,-0.318345,-1.18484,0.758705,0.232086,0.539979,1.0666,viable margin
29,-0.307914,-1.18223,0.755324,0.236978,0.539854,1.0582,viable margin
30,-0.297482,-1.17951,0.751942,0.241871,0.539173,1.04925,viable margin
31,-0.28705,-1.17669,0.748561,0.246763,0.53794,1.03974,viable margin
32,-0.276619,-1.17378,0.74518,0.251655,0.536158,1.02968,viable margin
33,-0.266187,-1.17078,0.741799,0.256547,0.533832,1.01908,viable margin
34,-0.255755,-1.16772,0.738417,0.261439,0.53097,1.00795,viable margin
35,-0.245324,-1.1646,0.735036,0.266331,0.52758,0.996285,viable margin
36,-0.234892,-1.16142,0.731655,0.271223,0.523674,0.984105,viable margin
37,-0.22446,-1.15819,0.728273,0.276115,0.519262,0.97142,viable margin
38,-0.214029,-1.15491,0.724892,0.281007,0.514358,0.958243,viable margin
39,-0.203597,-1.15159,0.721511,0.285899,0.508979,0.94459,viable margin
40,-0.193165,-1.14823,0.718129,0.290791,0.50314,0.930478,viable margin
