 time,financial_function,stress_load,stabilizing_capacity,liquidity_fragility,household_fragility,inclusion_adjusted_function
1, 0.84882, 0.15837, 0.36500, 0.87856, 0.70007, 0.86593
2, 0.93761, 0.15862, 0.36519, 0.87713, 0.70014, 0.95651
3, 1.00000, 0.15886, 0.36538, 0.87572, 0.70020, 1.00000
4, 1.00000, 0.15910, 0.36558, 0.87431, 0.70027, 1.00000
5, 1.00000, 0.15935, 0.36576, 0.87291, 0.70033, 1.00000
6, 1.00000, 0.15959, 0.36595, 0.87152, 0.70039, 1.00000
7, 1.00000, 0.15983, 0.36614, 0.87015, 0.70045, 1.00000
8, 1.00000, 0.16008, 0.36633, 0.86878, 0.70051, 1.00000
9, 1.00000, 0.16032, 0.36651, 0.86742, 0.70056, 1.00000
10, 1.00000, 0.16057, 0.36669, 0.86607, 0.70061, 1.00000
11, 1.00000, 0.16081, 0.36688, 0.86474, 0.70067, 1.00000
12, 0.81245, 0.86174, 0.36706, 0.88079, 0.71416, 0.70599
13, 0.89983, 0.16165, 0.36319, 0.87951, 0.71424, 0.91797
14, 0.98716, 0.16189, 0.36336, 0.87825, 0.71433, 1.00000
15, 1.00000, 0.16214, 0.36353, 0.87699, 0.71441, 1.00000
16, 1.00000, 0.16239, 0.36369, 0.87575, 0.71450, 1.00000
17, 1.00000, 0.16263, 0.36386, 0.87451, 0.71458, 1.00000
18, 1.00000, 0.16288, 0.36402, 0.87329, 0.71466, 1.00000
19, 1.00000, 0.16312, 0.36418, 0.87207, 0.71474, 1.00000
20, 1.00000, 0.16337, 0.36434, 0.87087, 0.71481, 1.00000
21, 1.00000, 0.16362, 0.36450, 0.86968, 0.71489, 1.00000
22, 1.00000, 0.16386, 0.36466, 0.86849, 0.71496, 1.00000
23, 1.00000, 0.16411, 0.36482, 0.86732, 0.71503, 1.00000
24, 1.00000, 0.16436, 0.36497, 0.86616, 0.71510, 1.00000
25, 1.00000, 0.16460, 0.36513, 0.86501, 0.71517, 1.00000
26, 1.00000, 0.16485, 0.36528, 0.86387, 0.71524, 1.00000
27, 1.00000, 0.16510, 0.36543, 0.86274, 0.71531, 1.00000
28, 1.00000, 0.16534, 0.36558, 0.86162, 0.71537, 1.00000
29, 1.00000, 0.16559, 0.36573, 0.86051, 0.71543, 1.00000
30, 1.00000, 0.16584, 0.36588, 0.85941, 0.71549, 1.00000
31, 1.00000, 0.16609, 0.36602, 0.85832, 0.71555, 1.00000
32, 1.00000, 0.16633, 0.36617, 0.85724, 0.71561, 1.00000
33, 1.00000, 0.16658, 0.36631, 0.85618, 0.71567, 1.00000
34, 1.00000, 0.16683, 0.36646, 0.85512, 0.71572, 1.00000
35, 1.00000, 0.16708, 0.36660, 0.85407, 0.71578, 1.00000
36, 1.00000, 0.16732, 0.36674, 0.85304, 0.71583, 1.00000
37, 1.00000, 0.16757, 0.36687, 0.85201, 0.71588, 1.00000
38, 1.00000, 0.16782, 0.36701, 0.85100, 0.71593, 1.00000
39, 1.00000, 0.16807, 0.36715, 0.85000, 0.71598, 1.00000
40, 1.00000, 0.16832, 0.36728, 0.84900, 0.71603, 1.00000
41, 1.00000, 0.16857, 0.36742, 0.84802, 0.71607, 1.00000
42, 1.00000, 0.16882, 0.36755, 0.84705, 0.71612, 1.00000
43, 1.00000, 0.16906, 0.36768, 0.84609, 0.71616, 1.00000
44, 1.00000, 0.16931, 0.36781, 0.84514, 0.71620, 1.00000
45, 1.00000, 0.16956, 0.36794, 0.84420, 0.71624, 1.00000
46, 1.00000, 0.16981, 0.36806, 0.84327, 0.71628, 1.00000
47, 1.00000, 0.17006, 0.36819, 0.84235, 0.71632, 1.00000
48, 1.00000, 0.17031, 0.36831, 0.84145, 0.71636, 1.00000
49, 1.00000, 0.17056, 0.36843, 0.84055, 0.71639, 1.00000
50, 1.00000, 0.17081, 0.36856, 0.83966, 0.71643, 1.00000
51, 1.00000, 0.17106, 0.36868, 0.83879, 0.71646, 1.00000
52, 1.00000, 0.17131, 0.36879, 0.83793, 0.71649, 1.00000
53, 1.00000, 0.17156, 0.36891, 0.83707, 0.71652, 1.00000
54, 1.00000, 0.17181, 0.36903, 0.83623, 0.71655, 1.00000
55, 1.00000, 0.17206, 0.36914, 0.83540, 0.71658, 1.00000
56, 1.00000, 0.17231, 0.36925, 0.83458, 0.71661, 1.00000
57, 1.00000, 0.17256, 0.36937, 0.83377, 0.71664, 1.00000
58, 1.00000, 0.17281, 0.36948, 0.83297, 0.71666, 1.00000
59, 1.00000, 0.17306, 0.36958, 0.83218, 0.71669, 1.00000
60, 1.00000, 0.17331, 0.36969, 0.83140, 0.71671, 1.00000
61, 1.00000, 0.17356, 0.36980, 0.83064, 0.71673, 1.00000
62, 1.00000, 0.17381, 0.36990, 0.82988, 0.71675, 1.00000
63, 1.00000, 0.17406, 0.37001, 0.82914, 0.71677, 1.00000
64, 1.00000, 0.17432, 0.37011, 0.82841, 0.71679, 1.00000
65, 1.00000, 0.17457, 0.37021, 0.82768, 0.71681, 1.00000
66, 1.00000, 0.17482, 0.37031, 0.82697, 0.71683, 1.00000
67, 1.00000, 0.17507, 0.37040, 0.82627, 0.71684, 1.00000
68, 1.00000, 0.17532, 0.37050, 0.82558, 0.71686, 1.00000
69, 1.00000, 0.17557, 0.37060, 0.82491, 0.71687, 1.00000
