system_id,system,system_domain,time,event,stress_load,response_capacity,service_level,interdependence_coupling,equity_adjusted_service
SYS001,Regional Power Distribution Network,energy,0,background infrastructure stress,0.17539,0.2642,0.93512,0.80034,0.96444
SYS001,Regional Power Distribution Network,energy,1,background infrastructure stress,0.17804,0.26415,1.0,0.80073,1.0
SYS001,Regional Power Distribution Network,energy,2,background infrastructure stress,0.18074,0.26408,1.0,0.80117,1.0
SYS001,Regional Power Distribution Network,energy,3,background infrastructure stress,0.18085,0.26401,1.0,0.80162,1.0
SYS001,Regional Power Distribution Network,energy,4,background infrastructure stress,0.18159,0.26394,1.0,0.80209,1.0
SYS001,Regional Power Distribution Network,energy,5,background infrastructure stress,0.18012,0.26387,1.0,0.80252,1.0
SYS001,Regional Power Distribution Network,energy,6,background infrastructure stress,0.18317,0.2638,1.0,0.80302,1.0
SYS001,Regional Power Distribution Network,energy,7,background infrastructure stress,0.18191,0.26372,1.0,0.80349,1.0
SYS001,Regional Power Distribution Network,energy,8,background infrastructure stress,0.1794,0.26364,1.0,0.80392,1.0
SYS001,Regional Power Distribution Network,energy,9,background infrastructure stress,0.18251,0.26357,1.0,0.80441,1.0
SYS001,Regional Power Distribution Network,energy,10,background infrastructure stress,0.18029,0.26349,1.0,0.80485,1.0
SYS001,Regional Power Distribution Network,energy,11,background infrastructure stress,0.18687,0.26342,1.0,0.80543,1.0
SYS001,Regional Power Distribution Network,energy,12,Extreme rainfall and transport flooding,0.73545,0.26333,0.89529,0.81698,0.77296
SYS001,Regional Power Distribution Network,energy,13,background infrastructure stress,0.18943,0.26148,0.96401,0.81763,0.99424
SYS001,Regional Power Distribution Network,energy,14,background infrastructure stress,0.18585,0.26138,1.0,0.81821,1.0
SYS001,Regional Power Distribution Network,energy,15,background infrastructure stress,0.18625,0.26129,1.0,0.8188,1.0
SYS001,Regional Power Distribution Network,energy,16,background infrastructure stress,0.18994,0.26119,1.0,0.81946,1.0
SYS001,Regional Power Distribution Network,energy,17,background infrastructure stress,0.18669,0.26109,1.0,0.82006,1.0
SYS001,Regional Power Distribution Network,energy,18,background infrastructure stress,0.18709,0.26099,1.0,0.82067,1.0
