 time,function,intelligence_value,response_capacity,fragility_gap,maintenance_backlog,data_trust,operator_strain,equity_access,resilience_score
1, 1.00000, 0.84460, 0.84800, 0.00000, 0.24677, 0.93660, 0.23047, 0.77767, 0.85774
2, 1.00000, 0.86682, 0.84800, 0.00000, 0.19360, 1.00000, 0.11621, 0.78567, 0.88502
3, 1.00000, 0.88140, 0.84800, 0.00000, 0.14049, 1.00000, 0.00000, 0.79380, 0.90380
4, 1.00000, 0.88140, 0.84800, 0.00000, 0.08745, 1.00000, 0.00000, 0.79380, 0.90911
5, 1.00000, 0.88140, 0.84800, 0.00000, 0.03446, 1.00000, 0.00000, 0.79380, 0.91441
6, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
7, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
8, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
9, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
10, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 0.99920, 0.03067, 0.74545, 0.90919
11, 1.00000, 0.88122, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91783
12, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
13, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
14, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
15, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
16, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
17, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
18, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
19, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
