simulation_id,strategy_id,strategy,rank,knowledge_integration_value,winner
0,LK004,Funded Community Resilience Advisory Council,1,8.94442,Funded Community Resilience Advisory Council
0,LK003,Indigenous Knowledge Governance Protocol,2,8.85522,Funded Community Resilience Advisory Council
0,LK006,Recovery Feedback and Administrative Burden Review,3,8.6249,Funded Community Resilience Advisory Council
0,LK001,Participatory Risk Mapping and Action Triggers,4,8.26994,Funded Community Resilience Advisory Council
0,LK002,Community Science Environmental Monitoring Network,5,8.16332,Funded Community Resilience Advisory Council
0,LK005,Trusted Messenger and Local Warning System,6,8.06979,Funded Community Resilience Advisory Council
1,LK003,Indigenous Knowledge Governance Protocol,1,8.88275,Indigenous Knowledge Governance Protocol
1,LK004,Funded Community Resilience Advisory Council,2,8.69253,Indigenous Knowledge Governance Protocol
1,LK006,Recovery Feedback and Administrative Burden Review,3,8.66554,Indigenous Knowledge Governance Protocol
1,LK001,Participatory Risk Mapping and Action Triggers,4,8.35236,Indigenous Knowledge Governance Protocol
1,LK002,Community Science Environmental Monitoring Network,5,8.33294,Indigenous Knowledge Governance Protocol
1,LK005,Trusted Messenger and Local Warning System,6,8.06079,Indigenous Knowledge Governance Protocol
2,LK003,Indigenous Knowledge Governance Protocol,1,8.89739,Indigenous Knowledge Governance Protocol
2,LK004,Funded Community Resilience Advisory Council,2,8.83839,Indigenous Knowledge Governance Protocol
2,LK001,Participatory Risk Mapping and Action Triggers,3,8.70775,Indigenous Knowledge Governance Protocol
2,LK006,Recovery Feedback and Administrative Burden Review,4,8.4616,Indigenous Knowledge Governance Protocol
2,LK005,Trusted Messenger and Local Warning System,5,8.4169,Indigenous Knowledge Governance Protocol
2,LK002,Community Science Environmental Monitoring Network,6,8.19799,Indigenous Knowledge Governance Protocol
3,LK003,Indigenous Knowledge Governance Protocol,1,9.16688,Indigenous Knowledge Governance Protocol
3,LK004,Funded Community Resilience Advisory Council,2,8.82123,Indigenous Knowledge Governance Protocol
3,LK006,Recovery Feedback and Administrative Burden Review,3,8.46892,Indigenous Knowledge Governance Protocol
3,LK001,Participatory Risk Mapping and Action Triggers,4,8.37417,Indigenous Knowledge Governance Protocol
3,LK005,Trusted Messenger and Local Warning System,5,8.28645,Indigenous Knowledge Governance Protocol
3,LK002,Community Science Environmental Monitoring Network,6,8.11133,Indigenous Knowledge Governance Protocol
4,LK003,Indigenous Knowledge Governance Protocol,1,9.05296,Indigenous Knowledge Governance Protocol
4,LK004,Funded Community Resilience Advisory Council,2,8.67207,Indigenous Knowledge Governance Protocol
4,LK005,Trusted Messenger and Local Warning System,3,8.61514,Indigenous Knowledge Governance Protocol
4,LK001,Participatory Risk Mapping and Action Triggers,4,8.54713,Indigenous Knowledge Governance Protocol
4,LK006,Recovery Feedback and Administrative Burden Review,5,8.22771,Indigenous Knowledge Governance Protocol
4,LK002,Community Science Environmental Monitoring Network,6,8.10378,Indigenous Knowledge Governance Protocol
