simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,PH006,Equity-Centered Emergency Preparedness Framework,1,8.38324,Equity-Centered Emergency Preparedness Framework
0,PH004,Community Health Trust and Outreach Network,2,8.30484,Equity-Centered Emergency Preparedness Framework
0,PH002,Essential Health Service Continuity Program,3,7.96421,Equity-Centered Emergency Preparedness Framework
0,PH003,Public Health Workforce Resilience Initiative,4,7.84256,Equity-Centered Emergency Preparedness Framework
0,PH001,Integrated Surveillance and Laboratory Modernization,5,7.7239,Equity-Centered Emergency Preparedness Framework
0,PH005,Climate-Resilient Health Facilities Program,6,7.5453,Equity-Centered Emergency Preparedness Framework
1,PH006,Equity-Centered Emergency Preparedness Framework,1,8.43177,Equity-Centered Emergency Preparedness Framework
1,PH002,Essential Health Service Continuity Program,2,8.15111,Equity-Centered Emergency Preparedness Framework
1,PH004,Community Health Trust and Outreach Network,3,8.05512,Equity-Centered Emergency Preparedness Framework
1,PH003,Public Health Workforce Resilience Initiative,4,7.82978,Equity-Centered Emergency Preparedness Framework
1,PH001,Integrated Surveillance and Laboratory Modernization,5,7.79388,Equity-Centered Emergency Preparedness Framework
1,PH005,Climate-Resilient Health Facilities Program,6,7.52421,Equity-Centered Emergency Preparedness Framework
2,PH006,Equity-Centered Emergency Preparedness Framework,1,8.237,Equity-Centered Emergency Preparedness Framework
2,PH004,Community Health Trust and Outreach Network,2,8.18592,Equity-Centered Emergency Preparedness Framework
2,PH001,Integrated Surveillance and Laboratory Modernization,3,8.16307,Equity-Centered Emergency Preparedness Framework
2,PH002,Essential Health Service Continuity Program,4,7.98759,Equity-Centered Emergency Preparedness Framework
2,PH005,Climate-Resilient Health Facilities Program,5,7.88928,Equity-Centered Emergency Preparedness Framework
2,PH003,Public Health Workforce Resilience Initiative,6,7.86156,Equity-Centered Emergency Preparedness Framework
3,PH006,Equity-Centered Emergency Preparedness Framework,1,8.24452,Equity-Centered Emergency Preparedness Framework
3,PH004,Community Health Trust and Outreach Network,2,8.18179,Equity-Centered Emergency Preparedness Framework
3,PH003,Public Health Workforce Resilience Initiative,3,8.12397,Equity-Centered Emergency Preparedness Framework
3,PH002,Essential Health Service Continuity Program,4,7.89822,Equity-Centered Emergency Preparedness Framework
3,PH001,Integrated Surveillance and Laboratory Modernization,5,7.80377,Equity-Centered Emergency Preparedness Framework
3,PH005,Climate-Resilient Health Facilities Program,6,7.77556,Equity-Centered Emergency Preparedness Framework
4,PH003,Public Health Workforce Resilience Initiative,1,8.13189,Public Health Workforce Resilience Initiative
4,PH005,Climate-Resilient Health Facilities Program,2,8.08044,Public Health Workforce Resilience Initiative
4,PH004,Community Health Trust and Outreach Network,3,8.05156,Public Health Workforce Resilience Initiative
4,PH006,Equity-Centered Emergency Preparedness Framework,4,8.00934,Public Health Workforce Resilience Initiative
4,PH001,Integrated Surveillance and Laboratory Modernization,5,7.95691,Public Health Workforce Resilience Initiative
4,PH002,Essential Health Service Continuity Program,6,7.89615,Public Health Workforce Resilience Initiative
5,PH002,Essential Health Service Continuity Program,1,8.15801,Essential Health Service Continuity Program
5,PH003,Public Health Workforce Resilience Initiative,2,7.98889,Essential Health Service Continuity Program
5,PH006,Equity-Centered Emergency Preparedness Framework,3,7.8992,Essential Health Service Continuity Program
5,PH004,Community Health Trust and Outreach Network,4,7.76043,Essential Health Service Continuity Program
5,PH005,Climate-Resilient Health Facilities Program,5,7.67983,Essential Health Service Continuity Program
5,PH001,Integrated Surveillance and Laboratory Modernization,6,7.67567,Essential Health Service Continuity Program
6,PH006,Equity-Centered Emergency Preparedness Framework,1,8.15816,Equity-Centered Emergency Preparedness Framework
6,PH002,Essential Health Service Continuity Program,2,8.15641,Equity-Centered Emergency Preparedness Framework
6,PH004,Community Health Trust and Outreach Network,3,8.10452,Equity-Centered Emergency Preparedness Framework
