time,pressure,state,regime
1,-0.75,-0.9,lower regime
2,-0.741061,-0.954603,lower regime
3,-0.732123,-1.00499,lower regime
4,-0.723184,-1.0507,lower regime
5,-0.714246,-1.09145,lower regime
6,-0.705307,-1.1272,lower regime
7,-0.696369,-1.15804,lower regime
8,-0.68743,-1.18424,lower regime
9,-0.678492,-1.20618,lower regime
10,-0.669553,-1.22429,lower regime
11,-0.660615,-1.23902,lower regime
12,-0.651676,-1.25084,lower regime
13,-0.642737,-1.26017,lower regime
14,-0.633799,-1.26741,lower regime
15,-0.62486,-1.27291,lower regime
16,-0.615922,-1.27695,lower regime
17,-0.606983,-1.27981,lower regime
18,-0.598045,-1.28169,lower regime
19,-0.589106,-1.28277,lower regime
20,-0.580168,-1.28321,lower regime
21,-0.571229,-1.28311,lower regime
22,-0.562291,-1.28259,lower regime
23,-0.553352,-1.28172,lower regime
24,-0.544413,-1.28056,lower regime
25,-0.535475,-1.27917,lower regime
26,-0.526536,-1.2776,lower regime
27,-0.517598,-1.27586,lower regime
28,-0.508659,-1.274,lower regime
29,-0.499721,-1.27204,lower regime
30,-0.490782,-1.26999,lower regime
31,-0.481844,-1.26786,lower regime
32,-0.472905,-1.26568,lower regime
33,-0.463966,-1.26344,lower regime
34,-0.455028,-1.26116,lower regime
35,-0.446089,-1.25884,lower regime
36,-0.437151,-1.25648,lower regime
37,-0.428212,-1.2541,lower regime
38,-0.419274,-1.25169,lower regime
39,-0.410335,-1.24925,lower regime
40,-0.401397,-1.2468,lower regime
41,-0.392458,-1.24432,lower regime
42,-0.38352,-1.24182,lower regime
43,-0.374581,-1.23931,lower regime
44,-0.365642,-1.23678,lower regime
45,-0.356704,-1.23423,lower regime
46,-0.347765,-1.23167,lower regime
47,-0.338827,-1.22909,lower regime
48,-0.329888,-1.22649,lower regime
49,-0.32095,-1.22388,lower regime
50,-0.312011,-1.22125,lower regime
51,-0.303073,-1.21861,lower regime
52,-0.294134,-1.21595,lower regime
53,-0.285196,-1.21327,lower regime
54,-0.276257,-1.21058,lower regime
55,-0.267318,-1.20788,lower regime
56,-0.25838,-1.20516,lower regime
57,-0.249441,-1.20242,lower regime
58,-0.240503,-1.19967,lower regime
59,-0.231564,-1.1969,lower regime
60,-0.222626,-1.19411,lower regime
61,-0.213687,-1.19131,lower regime
62,-0.204749,-1.18849,lower regime
63,-0.19581,-1.18565,lower regime
64,-0.186872,-1.1828,lower regime
65,-0.177933,-1.17992,lower regime
66,-0.168994,-1.17703,lower regime
67,-0.160056,-1.17412,lower regime
68,-0.151117,-1.1712,lower regime
69,-0.142179,-1.16825,lower regime
70,-0.13324,-1.16529,lower regime
71,-0.124302,-1.1623,lower regime
72,-0.115363,-1.1593,lower regime
73,-0.106425,-1.15627,lower regime
74,-0.097486,-1.15323,lower regime
75,-0.0885475,-1.15016,lower regime
76,-0.0796089,-1.14708,lower regime
77,-0.0706704,-1.14397,lower regime
78,-0.0617318,-1.14084,lower regime
79,-0.0527933,-1.13769,lower regime
80,-0.0438547,-1.13452,lower regime
81,-0.0349162,-1.13132,lower regime
82,-0.0259777,-1.1281,lower regime
83,-0.0170391,-1.12486,lower regime
84,-0.00810056,-1.12159,lower regime
85,0.000837989,-1.1183,lower regime
86,0.00977654,-1.11498,lower regime
87,0.0187151,-1.11164,lower regime
88,0.0276536,-1.10827,lower regime
89,0.0365922,-1.10487,lower regime
90,0.0455307,-1.10145,lower regime
91,0.0544693,-1.098,lower regime
92,0.0634078,-1.09452,lower regime
93,0.0723464,-1.09101,lower regime
94,0.0812849,-1.08748,lower regime
95,0.0902235,-1.08391,lower regime
96,0.099162,-1.08032,lower regime
97,0.108101,-1.07669,lower regime
98,0.117039,-1.07303,lower regime
99,0.125978,-1.06934,lower regime
100,0.134916,-1.06562,lower regime
101,0.143855,-1.06186,lower regime
102,0.152793,-1.05807,lower regime
103,0.161732,-1.05424,lower regime
104,0.17067,-1.05037,lower regime
105,0.179609,-1.04647,lower regime
106,0.188547,-1.04253,lower regime
107,0.197486,-1.03856,lower regime
108,0.206425,-1.03454,lower regime
109,0.215363,-1.03048,lower regime
110,0.224302,-1.02638,lower regime
111,0.23324,-1.02224,lower regime
112,0.242179,-1.01805,lower regime
113,0.251117,-1.01382,lower regime
114,0.260056,-1.00955,lower regime
115,0.268994,-1.00523,lower regime
116,0.277933,-1.00086,lower regime
117,0.286872,-0.996434,lower regime
118,0.29581,-0.991963,lower regime
119,0.304749,-0.987439,lower regime
120,0.313687,-0.982862,lower regime
121,0.322626,-0.978229,lower regime
122,0.331564,-0.97354,lower regime
123,0.340503,-0.968792,lower regime
124,0.349441,-0.963984,lower regime
125,0.35838,-0.959114,lower regime
126,0.367318,-0.954181,lower regime
127,0.376257,-0.949181,lower regime
128,0.385196,-0.944115,lower regime
129,0.394134,-0.938978,lower regime
130,0.403073,-0.933769,lower regime
131,0.412011,-0.928486,lower regime
132,0.42095,-0.923126,lower regime
133,0.429888,-0.917686,lower regime
134,0.438827,-0.912165,lower regime
135,0.447765,-0.906558,lower regime
136,0.456704,-0.900864,lower regime
137,0.465642,-0.895078,lower regime
138,0.474581,-0.889199,lower regime
139,0.48352,-0.883221,lower regime
140,0.492458,-0.877143,lower regime
141,0.501397,-0.870959,lower regime
142,0.510335,-0.864665,lower regime
143,0.519274,-0.858258,lower regime
144,0.528212,-0.851733,lower regime
145,0.537151,-0.845085,lower regime
146,0.546089,-0.838309,lower regime
147,0.555028,-0.8314,lower regime
148,0.563966,-0.824351,lower regime
149,0.572905,-0.817157,lower regime
150,0.581844,-0.809812,lower regime
151,0.590782,-0.802308,lower regime
152,0.599721,-0.794638,lower regime
153,0.608659,-0.786795,lower regime
154,0.617598,-0.77877,lower regime
155,0.626536,-0.770553,lower regime
156,0.635475,-0.762137,lower regime
157,0.644413,-0.75351,lower regime
158,0.653352,-0.744662,lower regime
159,0.662291,-0.73558,lower regime
160,0.671229,-0.726253,lower regime
161,0.680168,-0.716667,lower regime
162,0.689106,-0.706808,lower regime
163,0.698045,-0.696659,lower regime
164,0.706983,-0.686203,lower regime
165,0.715922,-0.675424,lower regime
166,0.72486,-0.6643,lower regime
167,0.733799,-0.65281,lower regime
168,0.742737,-0.640932,lower regime
169,0.751676,-0.628639,lower regime
170,0.760615,-0.615906,lower regime
171,0.769553,-0.6027,lower regime
172,0.778492,-0.588991,lower regime
173,0.78743,-0.574743,lower regime
174,0.796369,-0.559916,lower regime
175,0.805307,-0.544469,lower regime
176,0.814246,-0.528355,lower regime
177,0.823184,-0.511522,lower regime
178,0.832123,-0.493915,lower regime
179,0.841061,-0.475472,lower regime
180,0.85,-0.456126,lower regime
