simulation_id,portfolio_id,portfolio,rank,slack_resilience_value,winner
0,SS006,Adaptive Governance and Emergency Decision Space,1,7.47063,Adaptive Governance and Emergency Decision Space
0,SS002,Workforce Depth and Recovery Time,2,7.42477,Adaptive Governance and Emergency Decision Space
0,SS003,Critical Operations Redundancy,3,7.30684,Adaptive Governance and Emergency Decision Space
0,SS005,Supplier and Partner Optionality,4,7.2604,Adaptive Governance and Emergency Decision Space
0,SS004,Knowledge Architecture and Institutional Memory,5,7.0383,Adaptive Governance and Emergency Decision Space
0,SS001,Cash Reserves and Liquidity Buffer,6,6.82242,Adaptive Governance and Emergency Decision Space
1,SS005,Supplier and Partner Optionality,1,7.61072,Supplier and Partner Optionality
1,SS006,Adaptive Governance and Emergency Decision Space,2,7.53945,Supplier and Partner Optionality
1,SS002,Workforce Depth and Recovery Time,3,7.34597,Supplier and Partner Optionality
1,SS003,Critical Operations Redundancy,4,7.21365,Supplier and Partner Optionality
1,SS004,Knowledge Architecture and Institutional Memory,5,7.17802,Supplier and Partner Optionality
1,SS001,Cash Reserves and Liquidity Buffer,6,7.13646,Supplier and Partner Optionality
2,SS003,Critical Operations Redundancy,1,7.65196,Critical Operations Redundancy
2,SS006,Adaptive Governance and Emergency Decision Space,2,7.64839,Critical Operations Redundancy
2,SS004,Knowledge Architecture and Institutional Memory,3,7.41347,Critical Operations Redundancy
2,SS005,Supplier and Partner Optionality,4,7.41258,Critical Operations Redundancy
2,SS002,Workforce Depth and Recovery Time,5,7.28313,Critical Operations Redundancy
2,SS001,Cash Reserves and Liquidity Buffer,6,6.88886,Critical Operations Redundancy
3,SS005,Supplier and Partner Optionality,1,7.57209,Supplier and Partner Optionality
3,SS006,Adaptive Governance and Emergency Decision Space,2,7.48734,Supplier and Partner Optionality
3,SS004,Knowledge Architecture and Institutional Memory,3,7.46886,Supplier and Partner Optionality
3,SS002,Workforce Depth and Recovery Time,4,7.3656,Supplier and Partner Optionality
3,SS003,Critical Operations Redundancy,5,7.22992,Supplier and Partner Optionality
3,SS001,Cash Reserves and Liquidity Buffer,6,7.17703,Supplier and Partner Optionality
4,SS005,Supplier and Partner Optionality,1,7.67066,Supplier and Partner Optionality
4,SS002,Workforce Depth and Recovery Time,2,7.65568,Supplier and Partner Optionality
4,SS004,Knowledge Architecture and Institutional Memory,3,7.44901,Supplier and Partner Optionality
4,SS003,Critical Operations Redundancy,4,7.14941,Supplier and Partner Optionality
4,SS006,Adaptive Governance and Emergency Decision Space,5,7.04364,Supplier and Partner Optionality
4,SS001,Cash Reserves and Liquidity Buffer,6,6.77638,Supplier and Partner Optionality
5,SS004,Knowledge Architecture and Institutional Memory,1,7.54018,Knowledge Architecture and Institutional Memory
5,SS006,Adaptive Governance and Emergency Decision Space,2,7.53408,Knowledge Architecture and Institutional Memory
5,SS005,Supplier and Partner Optionality,3,7.36224,Knowledge Architecture and Institutional Memory
5,SS003,Critical Operations Redundancy,4,7.32839,Knowledge Architecture and Institutional Memory
5,SS002,Workforce Depth and Recovery Time,5,7.22158,Knowledge Architecture and Institutional Memory
5,SS001,Cash Reserves and Liquidity Buffer,6,6.73702,Knowledge Architecture and Institutional Memory
6,SS002,Workforce Depth and Recovery Time,1,7.49846,Workforce Depth and Recovery Time
6,SS004,Knowledge Architecture and Institutional Memory,2,7.41087,Workforce Depth and Recovery Time
6,SS003,Critical Operations Redundancy,3,7.40846,Workforce Depth and Recovery Time
6,SS006,Adaptive Governance and Emergency Decision Space,4,7.25846,Workforce Depth and Recovery Time
6,SS005,Supplier and Partner Optionality,5,7.09307,Workforce Depth and Recovery Time
6,SS001,Cash Reserves and Liquidity Buffer,6,7.02765,Workforce Depth and Recovery Time
7,SS002,Workforce Depth and Recovery Time,1,7.60014,Workforce Depth and Recovery Time
7,SS006,Adaptive Governance and Emergency Decision Space,2,7.37789,Workforce Depth and Recovery Time
7,SS005,Supplier and Partner Optionality,3,7.35291,Workforce Depth and Recovery Time
7,SS004,Knowledge Architecture and Institutional Memory,4,7.30037,Workforce Depth and Recovery Time
7,SS003,Critical Operations Redundancy,5,6.95811,Workforce Depth and Recovery Time
7,SS001,Cash Reserves and Liquidity Buffer,6,6.88283,Workforce Depth and Recovery Time
8,SS006,Adaptive Governance and Emergency Decision Space,1,7.43983,Adaptive Governance and Emergency Decision Space
8,SS003,Critical Operations Redundancy,2,7.42873,Adaptive Governance and Emergency Decision Space
8,SS004,Knowledge Architecture and Institutional Memory,3,7.36333,Adaptive Governance and Emergency Decision Space
