 time,exposure,recovery,trust,support_strength,abandonment_risk,justice_adjusted_resilience
1, 0.57460, 0.90790, 0.57992, 0.81389, 0.00000, 0.73401
2, 0.48920, 0.99580, 0.66335, 0.84499, 0.00000, 0.78857
3, 0.40380, 1.00000, 0.74695, 0.85603, 0.00000, 0.81833
4, 0.31840, 1.00000, 0.83055, 0.86607, 0.00000, 0.84683
5, 0.23300, 1.00000, 0.91415, 0.87610, 0.00000, 0.87534
6, 0.14760, 1.00000, 0.99775, 0.88613, 0.00000, 0.90384
7, 0.06220, 1.00000, 1.00000, 0.88640, 0.00000, 0.91458
8, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
9, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
10, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
11, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
12, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
13, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
14, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
15, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
16, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
17, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
18, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
19, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
20, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
21, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
22, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
23, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
24, 0.00000, 1.00000, 1.00000, 0.88640, 0.00000, 0.92205
