scenario_id,scenario_name,time_step,maintenance_backlog,public_trust,ecological_memory,climate_pressure,system_memory,monitoring_quality,justice_visibility,adaptive_capacity,threshold_distance,hidden_risk,fast_shock,system_function
SL001,Deferred maintenance and slow trust erosion,1,0.256,0.7165,0.6775,0.2245,0.60386,0.54,0.48,0.68982,0.73118,0.29423,0.0,0.94359
SL001,Deferred maintenance and slow trust erosion,2,0.262,0.713,0.675,0.229,0.6077,0.54,0.48,0.68703,0.7269,0.29806,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,3,0.268,0.7095,0.6725,0.2335,0.61152,0.54,0.48,0.68424,0.72262,0.30189,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,4,0.274,0.706,0.67,0.238,0.61533,0.54,0.48,0.68145,0.71835,0.30572,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,5,0.28,0.7025,0.6675,0.2425,0.61911,0.54,0.48,0.67866,0.71407,0.30955,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,6,0.286,0.699,0.665,0.247,0.62287,0.54,0.48,0.67587,0.70979,0.31338,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,7,0.292,0.6955,0.6625,0.2515,0.62661,0.54,0.48,0.67307,0.70551,0.31721,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,8,0.298,0.692,0.66,0.256,0.63034,0.54,0.48,0.67027,0.70123,0.32104,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,9,0.304,0.6885,0.6575,0.2605,0.63404,0.54,0.48,0.66747,0.69695,0.32487,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,10,0.31,0.685,0.655,0.265,0.63773,0.54,0.48,0.66467,0.69267,0.3287,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,11,0.316,0.6815,0.6525,0.2695,0.64139,0.54,0.48,0.66187,0.68839,0.33253,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,12,0.322,0.678,0.65,0.274,0.64504,0.54,0.48,0.65906,0.68411,0.33636,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,13,0.328,0.6745,0.6475,0.2785,0.64867,0.54,0.48,0.65626,0.67983,0.34019,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,14,0.334,0.671,0.645,0.283,0.65227,0.54,0.48,0.65345,0.67554,0.34402,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,15,0.34,0.6675,0.6425,0.2875,0.65586,0.54,0.48,0.65064,0.67126,0.34785,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,16,0.346,0.664,0.64,0.292,0.65943,0.54,0.48,0.64782,0.66698,0.35168,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,17,0.352,0.6605,0.6375,0.2965,0.66298,0.54,0.48,0.64501,0.6627,0.35551,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,18,0.358,0.657,0.635,0.301,0.66651,0.54,0.48,0.64219,0.65842,0.35934,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,19,0.364,0.6535,0.6325,0.3055,0.67002,0.54,0.48,0.63937,0.65414,0.36317,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,20,0.37,0.65,0.63,0.31,0.67351,0.54,0.48,0.63655,0.64986,0.367,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,21,0.376,0.6465,0.6275,0.3145,0.67698,0.54,0.48,0.63373,0.64557,0.37083,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,22,0.382,0.643,0.625,0.319,0.68043,0.54,0.48,0.6309,0.64129,0.37466,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,23,0.388,0.6395,0.6225,0.3235,0.68386,0.54,0.48,0.62808,0.63701,0.37849,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,24,0.394,0.636,0.62,0.328,0.68727,0.54,0.48,0.62525,0.63272,0.38232,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,25,0.4,0.6325,0.6175,0.3325,0.69066,0.54,0.48,0.62242,0.62844,0.38615,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,26,0.406,0.629,0.615,0.337,0.69404,0.54,0.48,0.61958,0.62416,0.38998,0.0,1.0
