time,ecology,social_pressure,extraction,resilience_margin,threshold_flag
1,0.72119,0.557689,0.04125,0.718001,viable margin
2,0.694496,0.566526,0.04022,0.682471,viable margin
3,0.669565,0.576434,0.039345,0.647631,viable margin
4,0.646109,0.587352,0.038596,0.613257,viable margin
5,0.623891,0.599224,0.0379493,0.579167,viable margin
6,0.602718,0.612007,0.0373851,0.545211,viable margin
7,0.582428,0.625663,0.0368868,0.511265,viable margin
8,0.562884,0.640159,0.0364403,0.477225,viable margin
9,0.543974,0.655468,0.0360335,0.443006,viable margin
10,0.525603,0.671567,0.0356557,0.408536,viable margin
11,0.507693,0.688436,0.0352978,0.373757,viable margin
12,0.490177,0.706059,0.0349514,0.338618,viable margin
13,0.473,0.72442,0.0346094,0.30308,viable margin
14,0.456117,0.743507,0.034265,0.26711,viable margin
15,0.43949,0.763309,0.0339126,0.230681,viable margin
16,0.42309,0.783816,0.0335466,0.193775,threshold risk
17,0.406895,0.805019,0.0331625,0.156375,threshold risk
18,0.390885,0.826911,0.0327558,0.118474,threshold risk
19,0.37505,0.849484,0.0323227,0.0800661,threshold risk
20,0.359381,0.886031,0.0318599,0.0278506,threshold risk
21,0.343397,0.909965,0.0318423,-0.0120675,threshold risk
22,0.327627,0.934577,0.0312479,-0.0524494,threshold risk
23,0.312071,0.959858,0.0306193,-0.0932867,threshold risk
24,0.296731,0.985798,0.0299544,-0.134567,threshold risk
25,0.281614,1.01239,0.0292517,-0.176275,threshold risk
26,0.266728,1.03962,0.0285103,-0.218391,threshold risk
27,0.252085,1.06748,0.0277296,-0.260894,threshold risk
28,0.237699,1.09596,0.0269096,-0.30376,threshold risk
29,0.223584,1.12504,0.0260508,-0.346961,threshold risk
30,0.209757,1.15472,0.0251542,-0.390468,threshold risk
31,0.196237,1.18499,0.0242212,-0.43425,threshold risk
32,0.183041,1.2,0.0232538,-0.462459,threshold risk
33,0.170479,1.2,0.021965,-0.475021,threshold risk
34,0.158775,1.2,0.0204575,-0.486725,threshold risk
35,0.147847,1.2,0.019053,-0.497653,threshold risk
36,0.137625,1.2,0.0177417,-0.507875,threshold risk
37,0.128044,1.2,0.016515,-0.517456,threshold risk
38,0.119051,1.2,0.0153653,-0.526449,threshold risk
39,0.110595,1.2,0.0142861,-0.534905,threshold risk
40,0.102633,1.2,0.0132714,-0.542867,threshold risk
41,0.0951249,1.2,0.0123159,-0.550375,threshold risk
42,0.088036,1.2,0.011415,-0.557464,threshold risk
43,0.0813345,1.2,0.0105643,-0.564165,threshold risk
44,0.0749919,1.2,0.00976014,-0.570508,threshold risk
45,0.0689823,1.2,0.00899903,-0.576518,threshold risk
46,0.0632823,1.2,0.00827788,-0.582218,threshold risk
47,0.0578707,1.2,0.00759388,-0.587629,threshold risk
48,0.0527279,1.2,0.00694448,-0.592772,threshold risk
49,0.0478364,1.2,0.00632735,-0.597664,threshold risk
50,0.0431799,1.2,0.00574037,-0.60232,threshold risk
51,0.0387435,1.2,0.00518158,-0.606756,threshold risk
52,0.0345137,1.2,0.00464922,-0.610986,threshold risk
53,0.0304778,1.2,0.00414164,-0.615022,threshold risk
54,0.0266244,1.2,0.00365734,-0.618876,threshold risk
55,0.0229427,1.2,0.00319493,-0.622557,threshold risk
56,0.0194229,1.2,0.00275313,-0.626077,threshold risk
57,0.0160558,1.2,0.00233075,-0.629444,threshold risk
58,0.012833,1.2,0.0019267,-0.632667,threshold risk
59,0.01,1.2,0.00153996,-0.6355,threshold risk
60,0.01,1.2,0.0012,-0.6355,threshold risk
61,0.01,1.2,0.0012,-0.6355,threshold risk
62,0.01,1.2,0.0012,-0.6355,threshold risk
63,0.01,1.2,0.0012,-0.6355,threshold risk
64,0.01,1.2,0.0012,-0.6355,threshold risk
65,0.01,1.2,0.0012,-0.6355,threshold risk
66,0.01,1.2,0.0012,-0.6355,threshold risk
67,0.01,1.2,0.0012,-0.6355,threshold risk
68,0.01,1.2,0.0012,-0.6355,threshold risk
69,0.01,1.2,0.0012,-0.6355,threshold risk
70,0.01,1.2,0.0012,-0.6355,threshold risk
71,0.01,1.2,0.0012,-0.6355,threshold risk
72,0.01,1.2,0.0012,-0.6355,threshold risk
73,0.01,1.2,0.0012,-0.6355,threshold risk
74,0.01,1.2,0.0012,-0.6355,threshold risk
75,0.01,1.2,0.0012,-0.6355,threshold risk
76,0.01,1.2,0.0012,-0.6355,threshold risk
77,0.01,1.2,0.0012,-0.6355,threshold risk
78,0.01,1.2,0.0012,-0.6355,threshold risk
79,0.01,1.2,0.0012,-0.6355,threshold risk
80,0.01,1.2,0.0012,-0.6355,threshold risk
81,0.01,1.2,0.0012,-0.6355,threshold risk
82,0.01,1.2,0.0012,-0.6355,threshold risk
83,0.01,1.2,0.0012,-0.6355,threshold risk
84,0.01,1.2,0.0012,-0.6355,threshold risk
85,0.01,1.2,0.0012,-0.6355,threshold risk
86,0.01,1.2,0.0012,-0.6355,threshold risk
87,0.01,1.2,0.0012,-0.6355,threshold risk
88,0.01,1.2,0.0012,-0.6355,threshold risk
89,0.01,1.2,0.0012,-0.6355,threshold risk
90,0.01,1.2,0.0012,-0.6355,threshold risk
