scenario_id,scenario_name,time_step,ecology,social_pressure,extraction,resilience_margin,threshold_flag
SC001,Strong governance and learning,1,0.72669,0.54629,0.04125,1.0179,viable margin
SC001,Strong governance and learning,2,0.70582,0.54348,0.0397,0.99984,viable margin
SC001,Strong governance and learning,3,0.68701,0.54148,0.03836,0.98303,viable margin
SC001,Strong governance and learning,4,0.66995,0.54021,0.0372,0.96724,viable margin
SC001,Strong governance and learning,5,0.65439,0.53961,0.03619,0.95228,viable margin
SC001,Strong governance and learning,6,0.64011,0.53963,0.03531,0.93798,viable margin
SC001,Strong governance and learning,7,0.62694,0.54021,0.03454,0.92423,viable margin
SC001,Strong governance and learning,8,0.61472,0.54132,0.03387,0.9109,viable margin
SC001,Strong governance and learning,9,0.60333,0.54291,0.03328,0.89792,viable margin
SC001,Strong governance and learning,10,0.59266,0.54497,0.03276,0.88519,viable margin
SC001,Strong governance and learning,11,0.58262,0.54746,0.0323,0.87266,viable margin
SC001,Strong governance and learning,12,0.57312,0.55035,0.0319,0.86026,viable margin
SC001,Strong governance and learning,13,0.56409,0.55364,0.03154,0.84795,viable margin
SC001,Strong governance and learning,14,0.55547,0.55729,0.03123,0.83568,viable margin
SC001,Strong governance and learning,15,0.54721,0.5613,0.03096,0.8234,viable margin
SC001,Strong governance and learning,16,0.53925,0.56565,0.03071,0.8111,viable margin
SC001,Strong governance and learning,17,0.53157,0.57034,0.0305,0.79873,viable margin
SC001,Strong governance and learning,18,0.52411,0.57534,0.03032,0.78627,viable margin
SC001,Strong governance and learning,19,0.51685,0.58066,0.03015,0.77369,viable margin
SC001,Strong governance and learning,20,0.50976,0.59468,0.03001,0.75258,viable margin
SC001,Strong governance and learning,21,0.50237,0.60061,0.03031,0.73926,viable margin
SC001,Strong governance and learning,22,0.49514,0.60686,0.03017,0.72578,viable margin
SC001,Strong governance and learning,23,0.48803,0.61342,0.03005,0.71211,viable margin
SC001,Strong governance and learning,24,0.48102,0.62027,0.02994,0.69825,viable margin
SC001,Strong governance and learning,25,0.4741,0.62743,0.02984,0.68417,viable margin
SC001,Strong governance and learning,26,0.46724,0.63488,0.02975,0.66986,viable margin
SC001,Strong governance and learning,27,0.46043,0.64262,0.02966,0.65531,viable margin
SC001,Strong governance and learning,28,0.45365,0.65065,0.02959,0.6405,viable margin
SC001,Strong governance and learning,29,0.44691,0.65897,0.02952,0.62543,viable margin
SC001,Strong governance and learning,30,0.44017,0.66759,0.02945,0.61008,viable margin
SC001,Strong governance and learning,31,0.43344,0.67649,0.02939,0.59445,viable margin
SC001,Strong governance and learning,32,0.4267,0.68568,0.02932,0.57852,viable margin
