simulation_id,strategy_id,strategy,rank,technology_resilience_value,winner
0,TR003,Cyber Recovery and Tested Backup Program,1,7.96312,Cyber Recovery and Tested Backup Program
0,TR002,Graceful Degradation and Fallback Architecture,2,7.91224,Cyber Recovery and Tested Backup Program
0,TR007,Human-Centered Fallback and Accessibility Program,3,7.88876,Cyber Recovery and Tested Backup Program
0,TR006,Vendor Portability and Platform Contingency Planning,4,7.8736,Cyber Recovery and Tested Backup Program
0,TR005,Technical Debt and Maintainability Program,5,7.70621,Cyber Recovery and Tested Backup Program
0,TR004,Data Integrity and Lineage Governance,6,7.63722,Cyber Recovery and Tested Backup Program
0,TR001,Critical Function and Dependency Mapping,7,7.62614,Cyber Recovery and Tested Backup Program
1,TR002,Graceful Degradation and Fallback Architecture,1,8.03092,Graceful Degradation and Fallback Architecture
1,TR003,Cyber Recovery and Tested Backup Program,2,7.98734,Graceful Degradation and Fallback Architecture
1,TR006,Vendor Portability and Platform Contingency Planning,3,7.89853,Graceful Degradation and Fallback Architecture
1,TR007,Human-Centered Fallback and Accessibility Program,4,7.83851,Graceful Degradation and Fallback Architecture
1,TR004,Data Integrity and Lineage Governance,5,7.76375,Graceful Degradation and Fallback Architecture
1,TR005,Technical Debt and Maintainability Program,6,7.75544,Graceful Degradation and Fallback Architecture
1,TR001,Critical Function and Dependency Mapping,7,7.45478,Graceful Degradation and Fallback Architecture
2,TR001,Critical Function and Dependency Mapping,1,7.94269,Critical Function and Dependency Mapping
2,TR006,Vendor Portability and Platform Contingency Planning,2,7.92349,Critical Function and Dependency Mapping
2,TR002,Graceful Degradation and Fallback Architecture,3,7.88026,Critical Function and Dependency Mapping
2,TR005,Technical Debt and Maintainability Program,4,7.86839,Critical Function and Dependency Mapping
2,TR004,Data Integrity and Lineage Governance,5,7.8379,Critical Function and Dependency Mapping
2,TR003,Cyber Recovery and Tested Backup Program,6,7.74305,Critical Function and Dependency Mapping
2,TR007,Human-Centered Fallback and Accessibility Program,7,7.65871,Critical Function and Dependency Mapping
3,TR003,Cyber Recovery and Tested Backup Program,1,8.15094,Cyber Recovery and Tested Backup Program
3,TR007,Human-Centered Fallback and Accessibility Program,2,7.87829,Cyber Recovery and Tested Backup Program
3,TR005,Technical Debt and Maintainability Program,3,7.82068,Cyber Recovery and Tested Backup Program
3,TR006,Vendor Portability and Platform Contingency Planning,4,7.80215,Cyber Recovery and Tested Backup Program
3,TR002,Graceful Degradation and Fallback Architecture,5,7.70781,Cyber Recovery and Tested Backup Program
3,TR001,Critical Function and Dependency Mapping,6,7.55942,Cyber Recovery and Tested Backup Program
3,TR004,Data Integrity and Lineage Governance,7,7.40372,Cyber Recovery and Tested Backup Program
4,TR002,Graceful Degradation and Fallback Architecture,1,7.97537,Graceful Degradation and Fallback Architecture
4,TR005,Technical Debt and Maintainability Program,2,7.89612,Graceful Degradation and Fallback Architecture
4,TR006,Vendor Portability and Platform Contingency Planning,3,7.85425,Graceful Degradation and Fallback Architecture
4,TR003,Cyber Recovery and Tested Backup Program,4,7.84567,Graceful Degradation and Fallback Architecture
4,TR004,Data Integrity and Lineage Governance,5,7.70837,Graceful Degradation and Fallback Architecture
4,TR007,Human-Centered Fallback and Accessibility Program,6,7.60184,Graceful Degradation and Fallback Architecture
4,TR001,Critical Function and Dependency Mapping,7,7.48807,Graceful Degradation and Fallback Architecture
5,TR005,Technical Debt and Maintainability Program,1,8.01064,Technical Debt and Maintainability Program
5,TR001,Critical Function and Dependency Mapping,2,7.92588,Technical Debt and Maintainability Program
5,TR004,Data Integrity and Lineage Governance,3,7.7945,Technical Debt and Maintainability Program
5,TR003,Cyber Recovery and Tested Backup Program,4,7.67521,Technical Debt and Maintainability Program
5,TR002,Graceful Degradation and Fallback Architecture,5,7.56581,Technical Debt and Maintainability Program
5,TR007,Human-Centered Fallback and Accessibility Program,6,7.54838,Technical Debt and Maintainability Program
5,TR006,Vendor Portability and Platform Contingency Planning,7,7.31465,Technical Debt and Maintainability Program
6,TR005,Technical Debt and Maintainability Program,1,7.90866,Technical Debt and Maintainability Program
6,TR001,Critical Function and Dependency Mapping,2,7.73578,Technical Debt and Maintainability Program
6,TR004,Data Integrity and Lineage Governance,3,7.72246,Technical Debt and Maintainability Program
6,TR003,Cyber Recovery and Tested Backup Program,4,7.70224,Technical Debt and Maintainability Program
6,TR007,Human-Centered Fallback and Accessibility Program,5,7.6866,Technical Debt and Maintainability Program
6,TR002,Graceful Degradation and Fallback Architecture,6,7.64237,Technical Debt and Maintainability Program
6,TR006,Vendor Portability and Platform Contingency Planning,7,7.63287,Technical Debt and Maintainability Program
7,TR002,Graceful Degradation and Fallback Architecture,1,8.11454,Graceful Degradation and Fallback Architecture
7,TR006,Vendor Portability and Platform Contingency Planning,2,7.94185,Graceful Degradation and Fallback Architecture
7,TR003,Cyber Recovery and Tested Backup Program,3,7.84218,Graceful Degradation and Fallback Architecture
7,TR001,Critical Function and Dependency Mapping,4,7.74103,Graceful Degradation and Fallback Architecture
7,TR005,Technical Debt and Maintainability Program,5,7.59725,Graceful Degradation and Fallback Architecture
7,TR004,Data Integrity and Lineage Governance,6,7.50575,Graceful Degradation and Fallback Architecture
7,TR007,Human-Centered Fallback and Accessibility Program,7,7.45396,Graceful Degradation and Fallback Architecture
8,TR002,Graceful Degradation and Fallback Architecture,1,7.90301,Graceful Degradation and Fallback Architecture
8,TR004,Data Integrity and Lineage Governance,2,7.89398,Graceful Degradation and Fallback Architecture
8,TR003,Cyber Recovery and Tested Backup Program,3,7.85432,Graceful Degradation and Fallback Architecture
8,TR007,Human-Centered Fallback and Accessibility Program,4,7.82728,Graceful Degradation and Fallback Architecture
