simulation_id,strategy_id,strategy,rank,resilience_value,winner
0,URB002,Green-Blue Stormwater and Floodplain Network,1,7.69879,Green-Blue Stormwater and Floodplain Network
0,URB006,Anti-Displacement Climate Adaptation Framework,2,7.5694,Green-Blue Stormwater and Floodplain Network
0,URB004,Transit Access and Evacuation Equity Plan,3,7.37798,Green-Blue Stormwater and Floodplain Network
0,URB001,Heat-Resilient Housing Retrofit Program,4,7.33591,Green-Blue Stormwater and Floodplain Network
0,URB003,Critical Service Microgrid and Water Backup Program,5,7.19754,Green-Blue Stormwater and Floodplain Network
0,URB005,Community Resilience Hub Network,6,7.13148,Green-Blue Stormwater and Floodplain Network
1,URB001,Heat-Resilient Housing Retrofit Program,1,7.78432,Heat-Resilient Housing Retrofit Program
1,URB003,Critical Service Microgrid and Water Backup Program,2,7.76218,Heat-Resilient Housing Retrofit Program
1,URB005,Community Resilience Hub Network,3,7.63461,Heat-Resilient Housing Retrofit Program
1,URB002,Green-Blue Stormwater and Floodplain Network,4,7.59244,Heat-Resilient Housing Retrofit Program
1,URB006,Anti-Displacement Climate Adaptation Framework,5,7.34532,Heat-Resilient Housing Retrofit Program
1,URB004,Transit Access and Evacuation Equity Plan,6,7.2847,Heat-Resilient Housing Retrofit Program
2,URB002,Green-Blue Stormwater and Floodplain Network,1,7.79638,Green-Blue Stormwater and Floodplain Network
2,URB004,Transit Access and Evacuation Equity Plan,2,7.62189,Green-Blue Stormwater and Floodplain Network
2,URB005,Community Resilience Hub Network,3,7.6132,Green-Blue Stormwater and Floodplain Network
2,URB001,Heat-Resilient Housing Retrofit Program,4,7.579,Green-Blue Stormwater and Floodplain Network
2,URB003,Critical Service Microgrid and Water Backup Program,5,7.43826,Green-Blue Stormwater and Floodplain Network
2,URB006,Anti-Displacement Climate Adaptation Framework,6,7.39313,Green-Blue Stormwater and Floodplain Network
3,URB006,Anti-Displacement Climate Adaptation Framework,1,7.80807,Anti-Displacement Climate Adaptation Framework
3,URB002,Green-Blue Stormwater and Floodplain Network,2,7.78232,Anti-Displacement Climate Adaptation Framework
3,URB001,Heat-Resilient Housing Retrofit Program,3,7.69884,Anti-Displacement Climate Adaptation Framework
3,URB005,Community Resilience Hub Network,4,7.64486,Anti-Displacement Climate Adaptation Framework
3,URB004,Transit Access and Evacuation Equity Plan,5,7.4983,Anti-Displacement Climate Adaptation Framework
3,URB003,Critical Service Microgrid and Water Backup Program,6,7.35037,Anti-Displacement Climate Adaptation Framework
4,URB005,Community Resilience Hub Network,1,7.7794,Community Resilience Hub Network
4,URB002,Green-Blue Stormwater and Floodplain Network,2,7.64317,Community Resilience Hub Network
4,URB001,Heat-Resilient Housing Retrofit Program,3,7.48683,Community Resilience Hub Network
4,URB004,Transit Access and Evacuation Equity Plan,4,7.47756,Community Resilience Hub Network
4,URB003,Critical Service Microgrid and Water Backup Program,5,7.23853,Community Resilience Hub Network
4,URB006,Anti-Displacement Climate Adaptation Framework,6,7.16584,Community Resilience Hub Network
5,URB001,Heat-Resilient Housing Retrofit Program,1,7.79976,Heat-Resilient Housing Retrofit Program
5,URB002,Green-Blue Stormwater and Floodplain Network,2,7.59345,Heat-Resilient Housing Retrofit Program
5,URB006,Anti-Displacement Climate Adaptation Framework,3,7.5884,Heat-Resilient Housing Retrofit Program
5,URB003,Critical Service Microgrid and Water Backup Program,4,7.50641,Heat-Resilient Housing Retrofit Program
5,URB004,Transit Access and Evacuation Equity Plan,5,7.3491,Heat-Resilient Housing Retrofit Program
5,URB005,Community Resilience Hub Network,6,6.99955,Heat-Resilient Housing Retrofit Program
6,URB001,Heat-Resilient Housing Retrofit Program,1,8.02603,Heat-Resilient Housing Retrofit Program
6,URB002,Green-Blue Stormwater and Floodplain Network,2,7.9133,Heat-Resilient Housing Retrofit Program
6,URB006,Anti-Displacement Climate Adaptation Framework,3,7.61067,Heat-Resilient Housing Retrofit Program
6,URB004,Transit Access and Evacuation Equity Plan,4,7.38317,Heat-Resilient Housing Retrofit Program
6,URB005,Community Resilience Hub Network,5,7.12692,Heat-Resilient Housing Retrofit Program
6,URB003,Critical Service Microgrid and Water Backup Program,6,6.83028,Heat-Resilient Housing Retrofit Program
7,URB004,Transit Access and Evacuation Equity Plan,1,7.69416,Transit Access and Evacuation Equity Plan
7,URB005,Community Resilience Hub Network,2,7.60176,Transit Access and Evacuation Equity Plan
7,URB001,Heat-Resilient Housing Retrofit Program,3,7.53267,Transit Access and Evacuation Equity Plan
7,URB006,Anti-Displacement Climate Adaptation Framework,4,7.4666,Transit Access and Evacuation Equity Plan
7,URB002,Green-Blue Stormwater and Floodplain Network,5,7.36697,Transit Access and Evacuation Equity Plan
7,URB003,Critical Service Microgrid and Water Backup Program,6,7.16209,Transit Access and Evacuation Equity Plan
8,URB005,Community Resilience Hub Network,1,7.86973,Community Resilience Hub Network
8,URB002,Green-Blue Stormwater and Floodplain Network,2,7.68192,Community Resilience Hub Network
8,URB001,Heat-Resilient Housing Retrofit Program,3,7.5547,Community Resilience Hub Network
8,URB004,Transit Access and Evacuation Equity Plan,4,7.41095,Community Resilience Hub Network
8,URB003,Critical Service Microgrid and Water Backup Program,5,7.40133,Community Resilience Hub Network
8,URB006,Anti-Displacement Climate Adaptation Framework,6,7.33875,Community Resilience Hub Network
9,URB002,Green-Blue Stormwater and Floodplain Network,1,7.96813,Green-Blue Stormwater and Floodplain Network
9,URB006,Anti-Displacement Climate Adaptation Framework,2,7.64559,Green-Blue Stormwater and Floodplain Network
9,URB001,Heat-Resilient Housing Retrofit Program,3,7.57064,Green-Blue Stormwater and Floodplain Network
9,URB005,Community Resilience Hub Network,4,7.46369,Green-Blue Stormwater and Floodplain Network
9,URB003,Critical Service Microgrid and Water Backup Program,5,7.39517,Green-Blue Stormwater and Floodplain Network
9,URB004,Transit Access and Evacuation Equity Plan,6,7.16245,Green-Blue Stormwater and Floodplain Network
10,URB001,Heat-Resilient Housing Retrofit Program,1,7.55653,Heat-Resilient Housing Retrofit Program
10,URB002,Green-Blue Stormwater and Floodplain Network,2,7.52864,Heat-Resilient Housing Retrofit Program
10,URB006,Anti-Displacement Climate Adaptation Framework,3,7.52575,Heat-Resilient Housing Retrofit Program
10,URB005,Community Resilience Hub Network,4,7.42718,Heat-Resilient Housing Retrofit Program
10,URB003,Critical Service Microgrid and Water Backup Program,5,7.34673,Heat-Resilient Housing Retrofit Program
10,URB004,Transit Access and Evacuation Equity Plan,6,6.86579,Heat-Resilient Housing Retrofit Program
11,URB001,Heat-Resilient Housing Retrofit Program,1,7.64034,Heat-Resilient Housing Retrofit Program
11,URB005,Community Resilience Hub Network,2,7.6277,Heat-Resilient Housing Retrofit Program
11,URB006,Anti-Displacement Climate Adaptation Framework,3,7.38958,Heat-Resilient Housing Retrofit Program
11,URB004,Transit Access and Evacuation Equity Plan,4,7.33089,Heat-Resilient Housing Retrofit Program
11,URB002,Green-Blue Stormwater and Floodplain Network,5,7.25791,Heat-Resilient Housing Retrofit Program
11,URB003,Critical Service Microgrid and Water Backup Program,6,7.07067,Heat-Resilient Housing Retrofit Program
12,URB001,Heat-Resilient Housing Retrofit Program,1,7.88129,Heat-Resilient Housing Retrofit Program
12,URB004,Transit Access and Evacuation Equity Plan,2,7.44161,Heat-Resilient Housing Retrofit Program
12,URB002,Green-Blue Stormwater and Floodplain Network,3,7.37973,Heat-Resilient Housing Retrofit Program
12,URB005,Community Resilience Hub Network,4,7.36374,Heat-Resilient Housing Retrofit Program
12,URB003,Critical Service Microgrid and Water Backup Program,5,7.30462,Heat-Resilient Housing Retrofit Program
12,URB006,Anti-Displacement Climate Adaptation Framework,6,7.29827,Heat-Resilient Housing Retrofit Program
13,URB002,Green-Blue Stormwater and Floodplain Network,1,8.02023,Green-Blue Stormwater and Floodplain Network
13,URB006,Anti-Displacement Climate Adaptation Framework,2,7.59204,Green-Blue Stormwater and Floodplain Network
13,URB005,Community Resilience Hub Network,3,7.45389,Green-Blue Stormwater and Floodplain Network
13,URB001,Heat-Resilient Housing Retrofit Program,4,7.28535,Green-Blue Stormwater and Floodplain Network
13,URB004,Transit Access and Evacuation Equity Plan,5,7.25309,Green-Blue Stormwater and Floodplain Network
13,URB003,Critical Service Microgrid and Water Backup Program,6,7.00093,Green-Blue Stormwater and Floodplain Network
14,URB002,Green-Blue Stormwater and Floodplain Network,1,7.95021,Green-Blue Stormwater and Floodplain Network
14,URB001,Heat-Resilient Housing Retrofit Program,2,7.69723,Green-Blue Stormwater and Floodplain Network
14,URB005,Community Resilience Hub Network,3,7.34316,Green-Blue Stormwater and Floodplain Network
14,URB006,Anti-Displacement Climate Adaptation Framework,4,7.31441,Green-Blue Stormwater and Floodplain Network
14,URB004,Transit Access and Evacuation Equity Plan,5,7.11975,Green-Blue Stormwater and Floodplain Network
14,URB003,Critical Service Microgrid and Water Backup Program,6,6.76978,Green-Blue Stormwater and Floodplain Network
15,URB001,Heat-Resilient Housing Retrofit Program,1,7.68034,Heat-Resilient Housing Retrofit Program
15,URB002,Green-Blue Stormwater and Floodplain Network,2,7.5766,Heat-Resilient Housing Retrofit Program
15,URB004,Transit Access and Evacuation Equity Plan,3,7.56487,Heat-Resilient Housing Retrofit Program
15,URB005,Community Resilience Hub Network,4,7.48704,Heat-Resilient Housing Retrofit Program
15,URB003,Critical Service Microgrid and Water Backup Program,5,7.17593,Heat-Resilient Housing Retrofit Program
15,URB006,Anti-Displacement Climate Adaptation Framework,6,7.06162,Heat-Resilient Housing Retrofit Program
16,URB002,Green-Blue Stormwater and Floodplain Network,1,7.68619,Green-Blue Stormwater and Floodplain Network
